,Spectral Centroid,Band Energy Ratio,Spectral Rolloff
53438,1698.692573,20.847622,2793.666667
53439,1601.461277,8.546228,4886.0
53440,1493.846235,19.856815,3894.0
53441,1462.275994,19.875547,4404.0
53442,1043.987929,12.208542,4743.666667
53443,1733.762169,8.481617,4868.333333
53444,1291.834791,14.808589,3825.333333
53445,1559.07832,10.450964,4658.333333
53446,1482.202752,38.033527,2885.666667
53447,1597.680928,42.981567,3572.0
53448,1629.327003,15.473102,4486.0
53449,1211.748713,8.586929,5065.0
53450,1270.086528,16.432486,4402.333333
53451,1314.216247,7.3470674,4597.333333
53452,1716.074977,11.517941,4228.333333
53453,912.106218,10.729898,4604.333333
53454,1078.264281,14.003001,4517.0
53455,1323.754725,11.866957,4621.333333
53456,1624.807913,34.883938,2816.666667
53457,1278.579978,82.04769,1885.666667
53458,974.497495,43.213837,2142.0
53459,1911.833674,29.372658,4296.333333
53460,1018.740902,7.8280497,4871.666667
53461,1211.449198,10.754975,4399.0
53462,1310.480862,13.051207,3340.333333
53463,1723.084888,17.025599,4445.0
53464,1103.095323,23.964666,3204.666667
53465,1193.23406,73.2804,1832.333333
53466,1339.784236,6.907752,5020.0
53467,959.9470296,9.796948,4812.666667
53468,1045.884714,6.5079045,4885.666667
53469,1498.69647,12.037796,4770.333333
53470,1148.904377,17.963295,3551.666667
53471,1734.723684,18.29951,4172.666667
53472,1201.075552,6.6200624,5024.333333
53473,1057.126504,48.74749,2213.666667
53474,1481.204917,13.882163,4715.666667
53475,1617.416665,14.509847,3504.666667
53476,1530.51857,8.827063,4881.666667
53477,1761.159571,53.008698,2155.333333
53478,1453.908433,29.869354,3413.666667
53479,982.6309551,6.3573728,4747.0
53480,1949.855782,9.207226,4441.0
53481,1366.422669,25.465868,2249.666667
53482,1411.783749,28.520805,3906.666667
53483,1525.375594,12.48155,4678.666667
53484,1594.09462,14.986597,4395.333333
53485,1604.566957,19.234549,4501.666667
53486,1699.538787,13.464234,4632.666667
53487,1441.542345,10.741994,4528.0
53488,1041.884073,6.7821665,4775.333333
53489,1238.139641,29.672361,3132.0
53490,1264.026893,44.923424,2409.666667
53491,1394.223224,32.12347,3562.666667
53492,1349.311573,97.64355,1785.666667
53493,1151.588082,25.750677,3073.666667
53494,1756.862908,38.74726,3504.0
53495,1224.328968,4.4687514,5094.0
53496,1657.763996,28.620745,2728.0
53497,1366.773008,9.905867,4844.666667
53498,1245.943845,17.191833,3950.333333
53499,1561.491426,23.595947,4155.333333
53500,1360.616281,19.260021,4388.333333
53501,1728.327546,7.700487,4976.0
53502,1327.876074,14.73124,4483.333333
53503,1417.500277,7.7593017,4844.666667
53504,1036.182105,13.944435,3247.333333
53505,1673.562298,5.179224,5153.0
53506,1418.166349,18.110796,3592.666667
53507,1668.076025,21.916403,2446.0
53508,1531.683847,23.610842,3463.333333
53509,1621.574751,8.573662,4356.333333
53510,1429.475653,15.365948,4523.666667
53511,1424.007006,17.644848,4444.0
53512,1333.079052,15.17173,3428.333333
53513,1760.098701,6.1211724,4856.0
53514,2003.429654,47.657005,2017.0
